name,address,phone,latitude,longitude,website,email
Gotham Food Pantry,101 Arkham St,555-5010,40.7132,-74.0061,https://gothamfoodpantry.com,info@gothamfoodpantry.com
Metropolis Community Kitchen,200 Daily Planet Blvd,555-5020,40.7128,-74.0059,https://metropoliskitchen.com,contact@metropoliskitchen.com
Xavier Mutant Food Aid,300 Mutant Way,555-5030,40.7127,-74.0065,https://xavierfoodaid.com,info@xavierfoodaid.com
Oscorp Soup Kitchen,400 Oscorp St,555-5040,40.7130,-74.0063,https://oscorpsoup.com,contact@oscorpsoup.com
Spider-Man Food Relief,111 Queens Blvd,555-5050,40.7282,-73.7949,https://spidermanfood.com,info@spidermanfood.com
Stark Industries Food Hub,444 Iron Ave,555-5060,34.0522,-118.2437,https://starkfoodhub.com,contact@starkfoodhub.com
Batcave Community Fridge,444 Wayne Blvd,555-5070,40.7126,-74.0045,https://batcavefridge.com,info@batcavefridge.com
Daily Planet Food Center,555 Metropolis St,555-5080,40.7129,-74.0058,https://dailyplanetfood.com,contact@dailyplanetfood.com
Krypton Food Aid,101 Planet Blvd,555-5090,38.9072,-77.0369,https://kryptonfood.com,info@kryptonfood.com
New Asgard Food Bank,202 Rainbow Rd,555-5100,64.1265,-21.8174,https://newasgardfood.com,contact@newasgardfood.com
Wakanda Food Hub,303 Vibranium Way,555-5110,1.5197,32.0103,https://wakandafood.com,info@wakandafood.com
Atlantis Community Kitchen,404 Ocean Blvd,555-5120,33.7683,-118.1956,https://atlantiskitchen.com,contact@atlantiskitchen.com
Star Labs Food Relief,505 Science Ave,555-5130,34.0521,-118.2436,https://starlabsfood.com,info@starlabsfood.com
Justice League Food Hub,606 Gotham Rd,555-5140,40.7133,-74.0064,https://justiceleaguefood.com,contact@justiceleaguefood.com
Xavier West Food Aid,707 Mutant Blvd,555-5150,40.7135,-74.0062,https://xavierwestfood.com,info@xavierwestfood.com
Daily Bugle Food Center,800 Newspaper St,555-5160,40.7125,-74.0055,https://dailybuglefood.com,contact@dailybuglefood.com
Fortress of Solitude Food,900 Ice Rd,555-5170,78.2232,-72.1234,https://solitudefood.com,info@solitudefood.com
Wayne Tower Food Pantry,1001 Gotham Heights,555-5180,40.7120,-74.0040,https://waynetowerfood.com,contact@waynetowerfood.com
Pym Tech Community Kitchen,1102 Quantum Ave,555-5190,34.0520,-118.2440,https://pymfoodaid.com,info@pymfoodaid.com
Shuri Food Hub,1203 Wakanda St,555-5200,1.5160,32.0120,https://shurifood.com,contact@shurifood.com
Stark Expo Food Relief,1304 Iron Ave,555-5210,34.0524,-118.2439,https://starkexpofood.com,info@starkexpofood.com
Wayne Manor Pantry,1405 Gotham Rd,555-5220,40.7127,-74.0050,https://waynemanorfood.com,contact@waynemanorfood.com
Gotham City Soup Kitchen,1506 Arkham St,555-5230,40.7132,-74.0061,https://gothamcityfood.com,info@gothamcityfood.com
Metropolis Central Food Bank,1607 Daily Planet Blvd,555-5240,40.7129,-74.0060,https://metropolisfood.com,contact@metropolisfood.com
Central City Food Pantry,1708 Flash Ave,555-5250,39.9612,-82.9988,https://centralcityfood.com,info@centralcityfood.com

