name,address,phone,latitude,longitude,website,email
Gotham Counseling Center,101 Arkham St,555-4010,40.7132,-74.0061,https://gothamcounseling.com,info@gothamcounseling.com
Metropolis Mental Wellness,200 Daily Planet Blvd,555-4020,40.7128,-74.0059,https://metropolismental.com,contact@metropolismental.com
Xavier Institute Therapy,300 Mutant Way,555-4030,40.7127,-74.0065,https://xaviertherapy.com,info@xaviertherapy.com
Oscorp Mental Health Hub,400 Oscorp St,555-4040,40.7130,-74.0063,https://oscorpmental.com,contact@oscorpmental.com
Spider-Man Therapy Center,111 Queens Blvd,555-4050,40.7282,-73.7949,https://spidermantherapy.com,info@spidermantherapy.com
Stark Industries Mental Health,444 Iron Ave,555-4060,34.0522,-118.2437,https://starkmental.com,contact@starkmental.com
Batcave Therapy Hub,444 Wayne Blvd,555-4070,40.7126,-74.0045,https://batcavetherapy.com,info@batcavetherapy.com
Daily Planet Counseling,555 Metropolis St,555-4080,40.7129,-74.0058,https://dailyplanetcounseling.com,contact@dailyplanetcounseling.com
Krypton Therapy Center,101 Planet Blvd,555-4090,38.9072,-77.0369,https://kryptontherapy.com,info@kryptontherapy.com
New Asgard Mind Center,202 Rainbow Rd,555-4100,64.1265,-21.8174,https://newasgardmind.com,contact@newasgardmind.com
Wakanda Mental Health Hub,303 Vibranium Way,555-4110,1.5197,32.0103,https://wakandamental.com,info@wakandamental.com
Atlantis Mind Wellness,404 Ocean Blvd,555-4120,33.7683,-118.1956,https://atlantismind.com,contact@atlantismind.com
Star Labs Therapy Clinic,505 Science Ave,555-4130,34.0521,-118.2436,https://starlabstherapy.com,info@starlabstherapy.com
Justice League Mental Hub,606 Gotham Rd,555-4140,40.7133,-74.0064,https://justiceleaguemental.com,contact@justiceleaguemental.com
Xavier West Therapy,707 Mutant Blvd,555-4150,40.7135,-74.0062,https://xavierwesttherapy.com,info@xavierwesttherapy.com
Daily Bugle Counseling,800 Newspaper St,555-4160,40.7125,-74.0055,https://dailybuglecounseling.com,contact@dailybuglecounseling.com
Fortress of Solitude Mental Health,900 Ice Rd,555-4170,78.2232,-72.1234,https://solitudemental.com,info@solitudemental.com
Wayne Tower Counseling,1001 Gotham Heights,555-4180,40.7120,-74.0040,https://waynetowercounseling.com,contact@waynetowercounseling.com
Pym Tech Therapy Center,1102 Quantum Ave,555-4190,34.0520,-118.2440,https://pymtherapy.com,info@pymtherapy.com
Shuri Mind Hub,1203 Wakanda St,555-4200,1.5160,32.0120,https://shurimind.com,contact@shurimind.com
Stark Expo Therapy,1304 Iron Ave,555-4210,34.0524,-118.2439,https://starkexpotherapy.com,info@starkexpotherapy.com
Wayne Manor Counseling,1405 Gotham Rd,555-4220,40.7127,-74.0050,https://waynemanorcounseling.com,contact@waynemanorcounseling.com
Gotham City Therapy,1506 Arkham St,555-4230,40.7132,-74.0061,https://gothamcitytherapy.com,info@gothamcitytherapy.com
Metropolis Mind Center,1607 Daily Planet Blvd,555-4240,40.7129,-74.0060,https://metropolismind.com,contact@metropolismind.com
Central City Counseling,1708 Flash Ave,555-4250,39.9612,-82.9988,https://centralcitycounseling.com,info@centralcitycounseling.com
